config_name,input_name,final_runtime_ms,overall_utilisation,master_utilisation,worker_utilisation,H,Nmin,Nmax,P
config2.sh,dipsy.in,6233,0.47480,0.00000,0.4998063157894737,5,1,4,0.75
config2.sh,dipsy.in,2305,0.05588,0.00000,0.05867894736842105,5,1,4,0.25
config5.sh,dipsy.in,2299,0.03701,0.00000,0.0380951724137931,5,1,4,0.25
config5.sh,dipsy.in,6087,0.32311,0.00000,0.33420965517241374,5,1,4,0.75
config6.sh,dipsy.in,17027,0.70550,0.00000,0.7235956410256408,5,1,4,1.00
config6.sh,dipsy.in,9123,0.06596,0.00000,0.0676274358974359,8,1,4,0.25
config2.sh,dipsy.in,58743,0.85595,0.00000,0.9009931578947369,16,1,4,0.25
config5.sh,dipsy.in,9233,0.08723,0.00000,0.09014896551724139,8,1,4,0.25
config5.sh,dipsy.in,20729,0.76955,0.00000,0.796083103448276,5,1,4,1.00
config6.sh,dipsy.in,2265,0.02814,0.00000,0.028810769230769234,5,1,4,0.25
config6.sh,dipsy.in,6098,0.24258,0.00000,0.24879769230769228,5,1,4,0.75
config2.sh,dipsy.in,27376,0.87123,0.00000,0.9170710526315787,5,1,4,1.00
config2.sh,dipsy.in,9341,0.13023,0.00000,0.13704894736842105,8,1,4,0.25
config6.sh,dipsy.in,34136,0.73730,0.00000,0.7562069230769229,16,1,4,0.25
config5.sh,dipsy.in,41892,0.80056,0.00000,0.8281627586206897,16,1,4,0.25
